,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,class
0,0.0096,,,,0.0887,,,,,0.2952,,0.5148,,0.4127,0.3575,0.3447,,0.2945,,0.7264,0.8147,,,0.6958,,,,,,0.6482,0.5876,0.6408,,,0.03,,,,0.6281,0.4977,0.2613,,,,,,0.1401,,,,0.031,0.0237,0.0078,,0.017,0.0012,,0.0036,0.0043,,1
1,,0.0421,0.0573,,,,0.1054,,0.2302,,,,0.3827,0.484,0.6812,0.7555,0.9522,,0.8871,,0.7561,,0.6967,,0.6948,0.8014,,0.6084,,,,,0.3638,0.4786,,0.0899,0.2043,0.1707,,0.1286,,,,,,0.2732,,0.1062,,,,,0.0036,,,0.0087,0.0061,,,0.0078,0
2,,,0.0749,0.0519,0.0227,0.0834,0.0677,0.2002,,0.3674,0.2974,,0.1912,,0.6352,,0.7505,0.6595,,0.2964,,,0.8297,,0.824,,0.7726,0.6124,,0.5648,0.4906,,0.1811,0.1107,,,,,,,,0.4041,,,0.1779,0.1946,,,0.0929,0.0179,,0.0083,0.0037,,0.0105,,,,,0.009,0
3,,,,,0.3225,,0.0617,,,,0.161,0.2226,0.2703,,,,,0.6921,0.8547,,0.9171,1.0,0.9532,,,0.7053,0.6534,0.4483,,,0.1446,0.0994,,0.2392,0.4434,,0.4441,,0.3927,0.29,0.3408,,0.3632,0.1387,0.18,,,,,,,,,0.0257,,,0.0171,0.0146,,,1
4,,,0.0346,0.0346,0.0484,0.0526,,,0.1451,,0.2343,,,,0.165,,0.2934,,,0.4161,0.5116,,0.7717,0.8491,0.9104,,,,,0.5207,0.5651,0.5749,0.525,0.4255,,,0.1451,0.1648,,0.373,0.4467,0.4133,0.3743,,,,,0.1341,0.0769,,,0.0123,,0.0011,,,0.0029,,0.0022,0.0032,1
5,,,0.0504,0.025,0.0596,0.0252,,,0.1419,0.1847,,0.2648,0.2508,0.2291,,0.1863,0.2387,0.3345,,0.6684,,,0.794,0.9129,,,1.0,,0.8237,,0.4181,,,0.2196,0.1588,0.0561,,,,0.1282,,0.1329,0.2331,0.2468,,,,,0.0549,0.0194,0.0166,,,,,0.0016,,0.0017,,,1
6,0.0394,0.042,0.0446,0.0551,0.0597,,,0.0802,0.1618,,,0.3404,,0.3951,,,,0.2248,,0.4578,0.6474,0.6708,0.7007,,,,0.7373,,,1.0,0.8086,0.5558,0.5409,0.4988,0.3108,,,,0.2287,,0.3454,,0.324,,,0.0566,,0.0969,0.0588,,,0.0146,,,,0.0062,,0.0068,0.0053,,1
7,0.0067,0.0096,,,0.0197,0.0618,0.0432,0.0951,0.0836,,,0.0909,0.0656,0.0593,,0.1297,0.2038,0.3811,,,0.5911,0.6566,,,0.4958,0.5647,0.6906,0.8513,,,0.7676,,,0.5516,0.5463,0.5515,0.4561,0.3466,,0.2853,0.2502,,,,0.1326,,,,,0.0154,,0.0048,,,0.004,0.0019,0.0034,0.0034,0.0051,0.0031,0
8,0.0162,,,0.0441,0.063,0.0921,,0.1078,,0.1779,0.2164,0.2568,,0.3829,,0.5335,,,,0.8092,,0.9668,1.0,0.9893,0.9376,,,0.9128,0.7811,,,0.33,,,,0.1788,,,,,,,0.1867,0.216,,0.0768,,,,0.0227,,,0.0135,,0.0062,,,,,,1
9,,,0.0257,,,,0.3322,0.459,0.5526,0.5966,0.5304,0.2251,0.2402,,0.6646,0.6632,0.1674,0.0837,0.4331,,,,0.1703,0.1611,,,,0.6134,,0.6925,,0.4303,,0.8703,1.0,0.9212,,,0.7314,,0.2087,,0.1669,,0.4374,0.3097,,0.0553,,0.0209,,,,0.0234,0.0276,,,0.0122,0.0082,0.0143,1
10,,,0.0953,,0.0249,,,0.1972,0.1873,,0.2139,,0.1975,,0.7298,0.7807,0.7906,0.6122,,,0.5148,0.7569,,,,0.6797,,,0.4772,0.5201,0.4241,,,,0.3967,0.7147,,0.3509,0.0589,,,,0.244,,,0.1886,,,,0.0398,0.0143,0.0093,,0.0113,,,,0.0057,0.0068,0.0024,0
11,,,0.0623,0.06,,0.1883,0.1422,,0.0487,0.0864,0.2143,,,0.2113,,,0.1934,,0.3279,0.6222,,0.7676,,,,0.9481,,,,0.5387,0.5619,0.5141,,,0.5956,0.6078,,,0.0477,0.2811,0.3422,,0.4372,0.247,,,0.0838,,0.0304,0.0074,0.0069,,,,0.0123,,0.0076,,0.003,,0
12,,,,0.0217,0.023,0.0481,,,0.1369,,0.2295,,0.1184,,,,0.685,,,,0.7352,,0.8057,0.4898,0.1934,,0.6255,0.8546,,,0.5168,0.484,0.4038,,,,0.2699,,0.4323,0.3314,,0.1669,,0.3072,,,0.1394,,0.0615,,,0.0168,0.0086,,,,,,0.0029,,1
13,0.0089,,0.0248,,0.0224,0.0845,0.1488,,,0.2119,,,,0.2547,0.187,,,0.2429,0.3259,,0.3355,0.31,0.3914,0.528,0.6409,,0.8754,,0.9806,,0.4973,0.502,0.5359,0.3842,0.1848,,,0.1311,,,,,0.3785,,,,,0.1385,,,0.0199,0.0096,,0.0093,,0.0044,0.0021,,0.006,0.0018,1
14,0.0201,,0.0138,0.0062,,,0.0541,,,0.1097,0.0841,,,,0.0031,,0.0624,,,0.3813,0.3825,,,,0.8675,0.8788,0.7901,,0.9631,,,,,,0.7892,0.5307,0.2718,0.1953,0.1374,0.3105,0.379,0.4105,,0.2998,,,0.1043,0.0453,,0.0122,,,0.007,0.0063,,,,0.0024,0.0057,0.0044,0
15,0.0635,0.0709,,0.0333,,0.126,,,0.3362,0.39,,,0.5506,0.4343,0.3052,,0.3975,0.3875,0.528,0.7198,0.7702,,,,,,0.9822,,,0.2918,0.328,,,,0.0864,,,,,0.1142,0.122,0.2621,,0.4726,,,0.039,,,0.0086,,,0.0025,,0.0072,0.0095,,0.0085,,,1
16,0.0107,,0.0289,,,0.1019,0.1606,,0.3061,,,0.3431,,0.1887,,0.208,,,,,0.0576,0.1241,,,,0.7825,0.9252,,0.9348,1.0,0.9308,,,,0.7539,,,0.5955,0.4731,0.484,,0.3954,0.4837,,0.4485,,,0.1359,0.0941,,,,0.012,0.0113,,,,,,0.0036,1
17,0.0201,0.0423,,0.0783,,,,,0.1206,0.0279,,,,0.3709,,,0.4616,0.3797,0.345,,0.2395,,,0.5169,,0.4082,0.5353,0.5116,,,0.3869,,0.4661,,,0.1816,,,,,0.2912,0.301,,0.1927,0.2062,0.1751,0.0841,,,,0.0081,,0.0182,,,0.009,,0.0224,0.019,,1
18,0.0305,,,0.0227,,0.0665,0.0939,0.0972,,0.3127,0.2192,0.2621,,,,0.1237,0.0886,0.1755,0.1758,,0.0512,0.1805,0.4039,,0.6577,0.7474,,,0.8668,0.8892,0.9065,0.8522,0.7204,,,0.6848,,,0.5725,,,0.4965,0.5027,,,0.4803,,,,,0.0271,0.02,0.007,0.007,,0.0089,,0.0042,,0.0021,1
19,0.0231,0.0315,,0.0226,,0.0116,0.0223,0.0805,,,0.2245,0.152,0.1732,,0.438,,0.682,,,,,1.0,,0.5426,,,0.565,,,0.396,0.2286,,,0.2398,0.1847,,,0.3626,,0.187,0.1046,0.2339,,0.11,0.0684,,,0.0785,,0.0246,,0.0125,0.0036,,,0.0114,0.0052,,,,1
20,0.0191,,,,0.0463,0.069,0.0576,,,,0.4786,0.5239,,,,,,0.3892,0.4088,0.5006,0.7271,,1.0,0.9831,0.9932,0.9161,0.8237,,,0.3281,,,,,0.1445,,,0.3367,0.5683,0.5505,0.3231,,0.3131,0.3387,,,,0.0859,0.06,,,0.004,0.0136,0.0137,0.0172,0.0132,,0.0122,,0.0068,1
21,,,,0.1484,0.1776,0.1428,0.1773,,,,0.4257,0.5484,,,,,0.9382,0.8925,0.9146,0.7832,,0.7983,,0.6615,0.486,,0.4697,0.564,0.4517,0.3369,0.2684,0.2339,,0.3016,,0.1041,,0.3156,,0.2736,,,,,,0.1062,,0.0532,0.0531,0.0272,,,,,0.0065,,,,,,1
22,0.0274,0.0242,,0.056,,,,0.1745,0.144,0.1808,0.2366,0.0906,,,0.5187,,0.9062,0.926,0.7434,,0.5103,,,0.8364,0.7283,0.6399,0.5759,0.4146,,0.4437,0.2665,0.2024,0.1942,0.0765,,,0.4827,0.2347,0.0999,,,,0.1684,,0.1683,,0.119,0.1297,0.0748,,,0.0113,,,0.0047,0.0074,,,,0.0173,0
23,,0.0068,0.0308,,,0.0767,0.0771,,,,0.075,0.0844,,0.1619,0.2317,0.2934,0.3526,,0.3221,0.3093,,,,,,0.8386,,0.6404,0.3308,0.3425,0.492,0.4592,0.3034,,,,,0.4902,,0.446,,0.2873,0.2296,0.0949,0.0095,0.0527,,,,,,,0.0028,,,0.0039,0.0053,0.0013,,0.0023,0
24,0.0116,,,,,,0.111,,,0.2271,0.3171,,,0.2307,,0.1791,0.2298,,,0.726,,,0.8067,,0.9327,0.9562,1.0,,,0.6381,0.3997,,,,,0.126,,,,,,,,,,,,,0.0321,,0.0202,,,0.01,0.0034,,0.0037,0.0044,,,1
25,0.01,,,0.0371,0.0416,0.0201,,0.0651,,,,0.3282,0.2432,0.1268,,0.4441,,0.7051,,,0.9857,,,,0.7043,,0.4081,,0.2064,,,,0.2227,0.3341,,0.5077,0.5534,,0.2723,,0.2044,0.1986,,0.0908,0.138,,,0.0843,0.0589,,,,,,,0.0047,0.0117,,,,0
26,,0.0625,,0.0257,,,,0.185,0.2647,0.4117,,,0.5554,0.3915,,,,,,0.7932,0.8751,0.8667,,,,,,0.9816,,,,0.5371,0.4586,,0.0774,,,0.3958,0.6117,,,0.437,,0.4322,0.4892,0.1901,0.094,,,,,0.0141,0.0019,,,0.0042,,0.0051,0.0033,0.0058,1
27,0.0025,0.0309,,0.0228,,,0.1947,0.1661,,0.143,0.0994,,0.2444,0.3239,0.3039,,,,0.3038,,,,,,,,0.7102,,1.0,0.769,,0.3717,,,,0.0916,,,,0.2095,,0.2941,,,,0.0606,0.0692,,,0.0082,0.0108,0.0149,,,,,0.0101,0.0016,,,0
28,,,,,,,,0.1694,0.2328,0.2684,0.3108,,0.2275,,0.1801,,,0.2862,0.2034,0.174,0.413,,0.812,,,0.93,0.9987,1.0,,0.6199,,0.5547,0.416,0.1472,,,0.0969,0.1411,0.1676,,0.1201,,0.1977,0.1339,,0.1085,0.1521,0.1363,0.0858,,,,0.0098,,0.0033,0.0101,0.0065,,0.0193,,1
29,0.0134,0.0172,0.0178,,0.0444,0.0744,0.08,,,0.125,0.2405,0.2325,,,0.0669,,,,,,0.6508,0.7793,0.7978,0.7786,,,0.9454,0.8645,0.722,,0.1357,0.2951,,,,,,,,,0.2642,,,,0.396,0.2525,0.1084,,0.0286,,0.0046,0.0094,,0.0047,0.0016,,0.0042,,0.0027,,1
30,0.0094,,0.0398,0.0359,0.0681,0.0706,0.102,,,,,0.0273,,0.0712,0.1204,0.0717,0.1224,,0.3684,0.3918,0.4925,,0.9606,0.8786,0.6905,,,0.654,,0.7575,,,0.8108,,0.8647,,,,0.2685,,,,0.2996,,,0.0635,0.0465,0.0422,,,0.0134,,,,,0.0129,,0.0087,,0.0122,0
31,,0.0046,,0.023,,,,,,0.0818,0.1315,0.1862,0.2789,0.2579,,0.2568,,0.2991,,0.4691,0.5665,0.6464,0.6774,0.7577,,,,0.8564,,0.5587,,0.2946,0.2025,0.0688,,0.2157,0.2216,,0.2309,0.1444,,0.1745,0.1756,,,,,0.048,,0.0045,0.0015,0.0052,0.0038,,0.0114,,,,,0.003,0
32,0.0715,,,0.0218,,0.1801,,0.1896,,0.4186,,0.5249,0.5959,,,,,,,0.9922,,0.8158,0.8373,,0.5893,0.5488,0.5643,,,0.4439,0.3698,0.2574,,,,0.1588,,0.1436,0.1667,0.263,,0.1239,0.0869,,,,,0.0927,,0.0086,0.0216,0.0153,0.0121,0.0096,,,0.0066,,0.0083,,1
33,0.0201,,,,,,,0.1298,0.2085,0.272,,0.3037,,0.2059,,0.161,,,0.2026,,0.0521,,,0.5943,,,,0.906,,0.9087,0.9657,0.9306,,,,0.6884,,0.5932,,0.6223,,0.4527,0.4911,,0.5013,0.4042,0.3123,,0.1085,0.0414,0.0253,0.0131,,,,0.0092,,,0.0048,0.0036,1
34,,0.0093,,0.0378,,0.0863,,0.0664,0.0941,0.1036,,0.0501,,0.3404,,,,0.7827,0.8152,0.8129,,0.8535,,,,,,0.9134,,,0.2895,0.2959,0.1746,,0.2569,0.2276,0.2149,0.1601,0.0371,,,,,,0.0369,,0.0327,0.0257,,,0.0124,,0.0023,0.0117,0.0053,,0.0076,0.0056,0.0055,0.0039,0
35,0.0519,,0.0842,0.0319,,0.0922,,0.0613,,,0.2802,,0.2657,,,,,0.1199,,0.9402,,0.5352,0.6809,,0.7613,0.822,0.8872,0.6091,,,,,0.099,,0.3666,0.105,0.1915,,0.4288,0.2546,,0.2196,,0.1437,0.2146,,,,0.0285,0.0178,,0.0081,0.012,0.0045,,0.0097,,0.0047,,,0
36,,0.0191,,0.0321,,0.1579,0.1438,,0.3048,0.3914,,,0.3943,0.3311,,0.3002,0.2324,,,,0.489,,,,0.6207,,0.6624,,0.7981,0.8577,0.9273,,0.4851,0.3409,0.1406,,0.1433,0.182,,0.5529,0.5988,,,0.5027,0.7034,,,,0.1584,,,0.0078,,0.0104,0.0039,0.0031,,0.0087,,0.0042,1
37,0.0599,0.0474,,,,0.0773,,,,,,0.2023,,,0.3819,0.4665,,0.8647,0.9361,,0.9144,0.9162,,,,,,0.4113,0.4146,,0.2936,,0.3149,,0.3994,0.4195,0.4532,,0.4737,0.3431,,0.337,,,0.1748,,0.053,,,0.0137,,0.0013,,0.0227,,0.0081,,0.0114,,0.01,1
38,0.019,0.0038,,0.0452,0.0333,,,,0.074,0.0349,0.1459,0.3473,,,,0.0572,,,0.3819,0.5627,0.6484,,,0.8766,1.0,0.8582,,0.5087,,,,0.4532,,0.5308,,0.5271,,,,,,0.5067,,0.2479,,0.1124,,0.0789,,0.007,0.0026,,0.0118,,0.0094,,,0.0022,0.0055,0.0122,0
39,0.0216,0.0124,,,,,,0.0877,0.116,0.0866,,0.078,0.0997,0.0915,,0.1134,,0.2573,0.3294,,,0.6115,,0.761,0.7973,0.9105,,,,,,,,0.6168,0.6498,,0.6253,0.5117,,0.3273,0.2509,0.153,0.1323,,,0.0978,0.0452,,0.0179,,0.0018,0.0052,,0.0096,,,0.0047,0.0018,0.0006,,0
40,0.0654,0.0649,,,0.2482,0.1257,0.1797,0.0989,,,,0.1377,,,0.2398,0.4331,,0.5772,,,0.5248,0.6373,,,0.7756,,,,,,,0.8202,0.6657,0.5254,0.296,,,0.3941,,,,0.4808,0.4602,,0.5438,0.5649,0.3195,0.2484,,0.0825,0.0243,,,0.0239,0.0447,,,,0.0243,,1
41,0.0272,0.0378,0.0488,0.0848,,0.1103,,,0.3113,,,,0.2926,,0.1739,0.2043,0.2088,0.2678,,0.1839,0.2802,0.6172,,,0.844,,,,0.7896,,0.6472,0.6505,,,,0.0434,,0.1979,0.188,,0.1702,,0.0638,,0.0638,0.0581,0.0641,0.1044,0.0732,0.0275,,,,,0.0043,,0.0054,0.0051,0.0065,,1
42,0.013,0.0006,,,0.0525,,0.0931,0.0941,0.1711,,0.1532,,,0.1236,0.1197,,,,,0.543,,,0.9273,0.9027,0.9192,,,0.9092,0.8184,0.6962,0.59,0.5447,0.5142,,,,,0.379,,0.175,,,0.0609,0.0375,0.0533,0.0278,0.0179,,0.0073,0.0116,,0.0078,0.0041,,,,0.0039,,0.0023,0.0016,0
43,,,0.0137,0.0084,0.0305,,,,,,0.0327,,0.1908,0.1065,,0.2232,,0.1105,,,,0.0689,0.206,0.2384,0.0904,,,,0.8467,,,,0.6545,,0.9885,,,0.5733,0.5872,0.6663,0.5651,0.5247,,,,0.0508,0.0931,0.0982,,0.0188,,0.0038,0.0187,,,0.0097,0.0073,,0.0086,,0
44,,,0.0092,0.0387,,0.1197,,0.1026,,0.0888,0.0937,0.1245,0.1599,0.1542,,0.1732,,0.1748,0.1455,0.1579,0.2257,0.1975,0.3368,0.5828,0.8505,,0.8457,0.6624,,0.3925,0.3233,0.2054,,0.2227,0.3147,0.2268,,0.0748,,0.1969,0.2619,,0.1983,0.0948,,,0.0381,0.0435,0.0336,,,,0.0055,,,0.0004,,,0.0024,,0
45,0.0335,0.0258,0.0398,,0.0529,,,,,0.266,,,0.3116,,0.178,,0.287,0.3969,0.5599,0.6936,0.7969,,,0.9261,0.881,0.8814,0.9301,0.9955,,,0.3934,,,0.114,0.0956,0.008,,0.0936,,0.1127,,0.102,,,,0.2012,0.1688,,0.0501,0.0136,,0.012,0.0039,0.0053,,0.0046,,,,,1
46,0.0084,0.0153,0.0291,0.0432,,0.0752,0.0414,0.0259,,0.1753,,0.1167,0.1683,,,0.5121,,0.7776,0.6222,0.3501,,,,0.7361,,,0.7772,0.7862,0.5652,0.3635,,,,0.1693,0.2627,,0.1388,,,,,0.0933,0.0856,0.0951,,,,,,0.0179,0.0056,,,0.0136,0.0117,,0.0058,0.0031,0.0072,,0
47,0.0453,0.0523,0.0843,,,0.2583,,,,,,0.6552,,,0.7464,0.9444,,,,0.7818,,,,,,,0.3271,,,0.2028,0.3788,0.2947,0.1984,,,0.4182,0.3835,0.1057,0.184,0.197,0.1674,,,,,,,0.0742,0.0409,,,,0.0089,,0.0094,0.0191,0.014,0.0049,0.0052,,0
48,,0.0146,0.0026,,,,0.0361,,0.1398,,0.0904,0.0671,0.0997,0.1056,,0.1231,0.1626,0.3652,0.3262,0.2995,,,0.2085,0.2282,0.0747,,0.4086,,,,,0.2214,0.4672,0.4479,,0.3235,0.448,,0.652,0.5354,0.2478,,0.1788,0.0898,0.0536,,,0.0956,,,0.0076,,,0.0145,,,0.0018,0.0048,,,0
49,0.0117,,,,0.0915,,,0.1927,,,,0.0754,,,0.5093,,0.7071,0.7532,,,0.9615,0.9838,,0.6403,0.5067,,0.6934,,0.8213,0.5962,0.295,0.2758,,,0.1446,,0.0888,,,,0.2318,,,0.1721,0.2017,,0.1112,0.0398,0.0305,,0.0039,,0.0029,,0.0013,0.0029,0.002,,,,1
50,,,0.0709,0.0108,,,,0.1323,,0.2696,0.3412,0.4292,0.3682,,0.2965,0.3172,0.2825,0.305,0.2408,0.542,,0.632,,0.6805,0.5984,0.8412,0.9911,,0.8005,0.6713,,,,0.2575,,0.1799,,0.476,0.5756,0.4254,0.5046,,0.6163,0.5663,,0.3593,,0.2299,0.1271,0.0356,,0.0176,,,,,,0.0021,,0.0017,1
51,,,,,,,,0.1353,0.1593,,,0.294,,,0.4985,0.7295,0.735,0.8253,,0.9657,,,0.6471,,,,0.6111,0.4195,0.299,,0.2438,,,,0.7298,,,,0.4738,,,0.3178,0.2377,,,0.1136,0.1034,,0.0422,0.0117,,0.0167,,0.0138,,,0.0029,0.0122,0.0056,,0
52,,,,0.0618,,0.1524,0.1543,0.0391,,,,0.2473,0.3011,0.3747,,,,0.7113,,0.8672,0.8416,0.7974,0.8385,,0.8555,0.6162,0.4139,0.3269,0.3108,0.2554,,0.4465,0.5,0.5111,0.5194,0.4619,,,,0.4433,,,,0.2527,0.2137,,,0.0528,,,0.0009,0.0142,0.0179,,,,,,0.0113,0.0049,1
53,,,,,0.0679,,0.0843,,0.0759,0.092,,0.0522,,0.097,,,,,0.0494,,0.3485,0.6146,0.9146,,,,0.8553,0.8833,,,0.6601,0.5499,0.5716,0.6859,,,0.275,0.1358,0.1551,0.2646,,0.1883,,0.1651,0.0575,0.0695,0.0598,,0.0021,,,,,0.006,0.0054,,,,0.0051,,0
54,,0.0575,0.0842,0.0372,0.0458,,0.0771,,0.2353,,0.2869,0.4129,0.3647,,,,0.5837,0.6792,0.6086,0.4858,,0.2013,,,,,0.2984,0.4655,,,,,,,0.744,,,,0.8753,0.7061,,,,,,0.1216,0.1306,,0.0578,,0.0135,0.0141,0.019,,,0.0026,,0.0162,0.0109,0.0079,0
55,,,0.0055,0.025,0.0344,,,,,,,,,0.3383,0.3227,,0.3943,,,0.8673,,0.9847,,,,,0.309,,,,0.1905,,0.1717,0.2351,0.2489,,,,,,0.1043,0.0839,,,0.0678,0.0663,,,,,0.0174,0.0176,0.0127,0.0088,0.0098,,0.0059,,,0.0032,0
56,0.0158,,,0.0494,0.0988,0.1425,,,0.1697,,0.2361,,0.3049,,,,0.2459,0.31,,,,,0.4585,,,,0.8706,1.0,0.9815,0.7187,0.5848,,0.3756,,,,,,0.1666,,,0.2777,,0.1335,0.1976,0.1234,0.1554,,0.049,0.0097,,0.0121,,0.0057,0.0028,,,0.0046,,,1
57,0.0368,0.0403,,,0.082,0.1342,0.1161,,,0.0506,,,0.1464,0.1272,,,0.1424,,0.1857,0.1136,0.2069,,,0.2547,0.024,0.1923,0.4753,0.7003,,,,,0.6601,,,,,0.6772,,,0.6035,,0.3802,0.2278,,,,,0.0566,0.0175,0.0058,0.0091,0.016,0.016,0.0081,0.007,0.0135,0.0067,,,0
58,,,0.0079,0.0243,0.0432,0.0735,0.0938,,,,,,,,0.401,0.5325,,0.5823,,,0.7084,,,,,,,,,0.602,,0.4867,,,,,,,,0.2945,0.2978,,,,0.1625,0.1216,,0.0744,,,,,,0.0107,0.0112,,0.0052,,,,1
59,,0.0318,,,,0.1635,0.0887,,0.1779,0.2053,,0.3118,0.3686,,,0.7868,,,,,0.8443,0.9061,,,,0.6793,,,0.5578,,0.4729,0.3318,,0.3894,0.2314,0.1036,,,0.2569,,,,0.1713,,,,0.2198,0.1074,,,0.0093,,,0.0078,,,,,0.0043,0.0053,0
60,0.0239,0.0189,,0.044,,,,0.1099,0.1384,,0.0938,,,0.2851,,0.8278,0.8669,,,,1.0,,0.9872,0.9761,,,0.9675,0.7633,0.4434,,0.4727,0.4007,0.3381,,,,,0.1888,0.0712,,,0.03,0.0893,0.1459,,0.0391,,0.0469,0.0201,0.0095,,0.0091,0.0151,,0.0018,0.0078,,0.0026,0.0036,0.0024,0
61,,0.0173,0.0347,,0.0187,,,,,0.0251,0.0801,,0.1266,,0.0198,,0.2826,0.3234,0.3238,,0.6068,0.7652,0.9203,,,,,0.8907,0.7309,,0.5829,0.4935,,,0.0244,0.1108,,,,0.0452,0.062,,0.1597,,0.0372,0.0688,0.0867,,0.0092,0.0198,0.0118,,0.0223,,0.0084,0.0068,,,0.0056,,0
62,,0.0128,,,0.0711,,,0.1206,,0.1345,,0.0367,0.1227,0.2614,,0.6122,0.7435,0.813,,0.9603,,,,0.5134,,,0.2571,,,,0.4613,,,0.3864,,0.2138,,,0.1523,0.0996,,0.1902,0.1313,0.1776,0.2,,,0.0749,,,,0.0117,,,,,0.0024,0.0039,,,1
63,0.0335,,,,0.0348,0.118,,0.1607,,,,0.5771,0.7022,0.7067,,0.7391,0.8622,,0.8782,0.7913,,,,,,0.4862,0.5027,,0.2847,,,0.3522,0.3321,,,,0.1834,0.182,0.1815,,0.0576,,0.1086,0.0812,0.0784,0.0487,0.0439,,,,,,,0.0093,,,0.0032,0.0377,,,1
64,0.1313,0.2339,,,0.401,0.1791,,,0.1929,,,,0.3136,,,,0.4386,,0.5255,0.3735,0.2243,0.1973,,0.6532,0.507,0.2796,0.4163,0.595,0.5242,0.4178,,0.2375,,,0.2896,,0.3725,0.3372,,0.4181,0.3603,,,,,0.2246,0.1921,0.15,0.0665,0.0193,0.0156,0.0362,,0.0154,0.018,0.0013,,,0.0178,,1
65,,0.0318,,0.0399,,0.0766,,,,0.2048,,0.31,,0.1918,0.143,,0.1781,0.2852,0.5036,,,0.8125,,0.8788,,,,0.9739,,,,,0.2869,0.2017,0.1206,,,0.1262,0.1072,,,0.1197,0.2061,,,0.2047,0.1716,0.1069,,,,0.0096,0.0071,0.0084,0.0038,,0.0028,,0.0035,0.006,1
